Date of joining,Member ID,Membership fee
03-04-2019,ZF7499,2000
03-05-2019,ZF2070,3000
03-06-2019,ZF8987,1500
03-07-2019,ZF3667,1000
03-08-2019,ZF8396,3000
03-09-2019,ZF7405,3000
03-10-2019,ZF1507,1500
03-11-2019,ZF7114,1500
03-12-2019,ZF7589,1500
03-13-2019,ZF6832,2000
03-14-2019,ZF1282,2000
03-15-2019,ZF5763,3000
03-16-2019,ZF7870,3000
03-17-2019,ZF1433,1500
03-18-2019,ZF8828,1500
03-19-2019,ZF1476,2000
03-20-2019,ZF4492,1500
03-20-2019,ZF7587,2000
03-20-2019,ZF2939,1000
03-20-2019,ZF6402,1500
03-21-2019,ZF5842,1000
03-21-2019,ZF6047,2000
03-21-2019,ZF5300,3000
03-22-2019,ZF3639,1000
03-23-2019,ZF8616,1500
03-24-2019,ZF3986,3000
03-25-2019,ZF6394,1000
03-26-2019,ZF9898,2000
03-27-2019,ZF9303,1500
03-28-2019,ZF9351,2000
03-29-2019,ZF8721,1500
03-30-2019,ZF7862,3000
03-31-2019,ZF1310,1500
04-01-2019,ZF7624,3000
04-02-2019,ZF7258,1000
04-03-2019,ZF2162,3000
04-04-2019,ZF6661,3000
04-05-2019,ZF4820,3000
04-05-2019,ZF2077,2000
04-05-2019,ZF9136,3000
04-05-2019,ZF5206,1500
04-05-2019,ZF4717,1000
04-05-2019,ZF5857,3000
04-05-2019,ZF6341,2000
04-05-2019,ZF8377,1000
04-06-2019,ZF2406,1000
04-07-2019,ZF6213,1000
04-08-2019,ZF7238,2000
04-09-2019,ZF4717,1000
04-10-2019,ZF3541,1000
04-10-2019,ZF5445,1500
04-10-2019,ZF7085,1000
04-10-2019,ZF3982,1500
04-11-2019,ZF6329,1000
04-12-2019,ZF5641,2000
04-13-2019,ZF8335,1500
04-14-2019,ZF6771,2000
04-15-2019,ZF9131,3000
04-16-2019,ZF1433,3000
04-17-2019,ZF5045,2000
04-18-2019,ZF6250,2000
04-19-2019,ZF7770,1500
04-20-2019,ZF7889,1000
04-21-2019,ZF9329,3000
04-22-2019,ZF5911,2000
04-23-2019,ZF1069,2000
04-24-2019,ZF6064,3000
04-25-2019,ZF6432,2000
04-26-2019,ZF4506,1000
04-27-2019,ZF2019,1000
04-28-2019,ZF3865,1000
04-29-2019,ZF3443,3000
04-30-2019,ZF3639,1500
05-01-2019,ZF7369,3000
05-02-2019,ZF1257,1000
05-03-2019,ZF6755,2000
05-04-2019,ZF2346,3000
05-05-2019,ZF8716,1000
05-06-2019,ZF7505,2000
05-07-2019,ZF5161,3000
05-08-2019,ZF2930,2000
05-09-2019,ZF6742,2000
05-10-2019,ZF4505,2000
05-11-2019,ZF3066,1000
05-12-2019,ZF2259,1500
05-13-2019,ZF4127,3000
05-14-2019,ZF6954,1000
05-15-2019,ZF3697,2000
05-16-2019,ZF7702,1500
05-17-2019,ZF2797,1000
05-18-2019,ZF5074,3000
05-19-2019,ZF8326,2000
05-20-2019,ZF8909,3000
05-21-2019,ZF9583,2000
05-22-2019,ZF5578,3000
05-23-2019,ZF7466,1000
05-24-2019,ZF5658,2000
05-24-2019,ZF6086,3000
05-24-2019,ZF8914,3000
05-24-2019,ZF7733,1500
05-25-2019,ZF8079,1000
05-26-2019,ZF6515,2000
05-27-2019,ZF1433,1000
05-28-2019,ZF3539,1000
05-29-2019,ZF9652,3000
05-30-2019,ZF9538,1500
05-31-2019,ZF8981,1500
06-01-2019,ZF6105,1500
06-02-2019,ZF6536,1500
06-03-2019,ZF7736,1000
06-04-2019,ZF6510,2000
06-05-2019,ZF2077,1000
06-06-2019,ZF9136,3000
06-07-2019,ZF5206,1500
06-08-2019,ZF4717,2000
06-09-2019,ZF2674,3000
06-10-2019,ZF4316,1000
06-11-2019,ZF4879,1000
06-12-2019,ZF3342,2000
06-13-2019,ZF8756,2000
06-14-2019,ZF6870,3000
06-15-2019,ZF6380,2000
06-16-2019,ZF3757,2000
06-17-2019,ZF1884,2000
06-18-2019,ZF7181,3000
06-19-2019,ZF9155,1500
06-20-2019,ZF6748,2000
06-21-2019,ZF9308,1000
06-22-2019,ZF8198,2000
06-23-2019,ZF5287,1000
06-24-2019,ZF7650,1000
06-25-2019,ZF9042,1500
06-26-2019,ZF9260,2000
06-27-2019,ZF8841,1000
06-28-2019,ZF2825,3000
06-29-2019,ZF6806,3000
06-30-2019,ZF2611,2000
07-01-2019,ZF6032,2000
07-02-2019,ZF5729,2000
07-03-2019,ZF1433,3000
07-04-2019,ZF4124,1000
07-05-2019,ZF2151,1000
07-06-2019,ZF5477,2000
07-07-2019,ZF9259,1500
07-08-2019,ZF5394,3000
07-09-2019,ZF4436,1000
07-10-2019,ZF7608,2000
07-11-2019,ZF1638,2000
07-12-2019,ZF3789,3000
07-13-2019,ZF5415,2000
07-14-2019,ZF6052,3000
07-15-2019,ZF1591,2000
07-16-2019,ZF3536,1500
07-17-2019,ZF4895,1500
07-18-2019,ZF5198,1000
07-19-2019,ZF3496,3000
07-20-2019,ZF2424,1500
07-21-2019,ZF1708,2000
07-22-2019,ZF6347,2000
07-23-2019,ZF6179,1500
07-24-2019,ZF8259,1500
07-25-2019,ZF4499,2000
07-26-2019,ZF3763,1000
07-27-2019,ZF7466,3000
07-28-2019,ZF5658,1500
07-29-2019,ZF6086,3000
07-30-2019,ZF8914,2000
07-31-2019,ZF7733,2000
08-01-2019,ZF8079,1000
08-02-2019,ZF6515,1500
08-03-2019,ZF1433,2000
08-04-2019,ZF3539,1500
08-05-2019,ZF9652,1500
08-06-2019,ZF9538,3000
08-07-2019,ZF9136,3000
08-08-2019,ZF5206,1500
08-09-2019,ZF4717,1000
08-10-2019,ZF9213,1000
08-11-2019,ZF2519,1000
08-12-2019,ZF3620,3000
08-13-2019,ZF3508,3000
08-14-2019,ZF7886,1000
08-15-2019,ZF7688,3000
08-16-2019,ZF9892,1000
08-17-2019,ZF2244,2000
08-18-2019,ZF8438,2000
08-19-2019,ZF5620,1000
08-20-2019,ZF2171,1000
08-21-2019,ZF9219,1500
08-22-2019,ZF2304,2000
08-23-2019,ZF8083,2000
08-24-2019,ZF6324,2000
08-25-2019,ZF7702,3000
08-26-2019,ZF9284,3000
08-27-2019,ZF4950,1500
08-28-2019,ZF2931,1500
08-29-2019,ZF2353,1500
08-30-2019,ZF8299,1500
08-31-2019,ZF8006,1000
09-01-2019,ZF5534,1000
09-02-2019,ZF3044,2000
09-03-2019,ZF4325,2000
09-04-2019,ZF7599,1000
09-05-2019,ZF9259,3000
09-06-2019,ZF2367,2000
09-07-2019,ZF1433,3000
09-08-2019,ZF9652,3000
09-09-2019,ZF6263,3000
09-10-2019,ZF2862,1000
09-11-2019,ZF3851,1000
09-12-2019,ZF4850,3000
09-13-2019,ZF7010,3000
09-14-2019,ZF9950,1000
09-15-2019,ZF8946,1000
09-16-2019,ZF2683,2000
09-17-2019,ZF5789,2000
09-18-2019,ZF7560,1000
09-19-2019,ZF7898,1000
09-20-2019,ZF6351,1000
09-21-2019,ZF4010,3000
09-22-2019,ZF5385,1000
09-23-2019,ZF4093,3000
09-24-2019,ZF9470,3000
09-25-2019,ZF6794,1500
09-26-2019,ZF1821,3000
09-27-2019,ZF3712,3000
09-28-2019,ZF5935,3000
09-29-2019,ZF3050,1500
09-30-2019,ZF8647,1500
10-01-2019,ZF1098,1000
10-02-2019,ZF7271,1000
10-03-2019,ZF2769,1500
10-04-2019,ZF7644,1500
10-05-2019,ZF1433,2000
10-06-2019,ZF4258,2000
10-07-2019,ZF3514,3000
10-08-2019,ZF7478,1000
10-09-2019,ZF4321,2000
10-10-2019,ZF6702,1500
10-11-2019,ZF2188,2000
10-12-2019,ZF8330,3000
10-13-2019,ZF2794,1500
10-14-2019,ZF8718,1500
10-15-2019,ZF2964,2000
10-16-2019,ZF2077,3000
10-17-2019,ZF9136,3000
10-18-2019,ZF5206,3000
10-19-2019,ZF4717,1500
10-20-2019,ZF3052,3000
10-21-2019,ZF4918,3000
10-22-2019,ZF5333,1000
10-23-2019,ZF8300,3000
10-24-2019,ZF1245,3000
10-25-2019,ZF1805,2000
10-26-2019,ZF7097,1500
10-27-2019,ZF3580,3000
10-28-2019,ZF3885,1000
10-29-2019,ZF7466,1500
10-30-2019,ZF5658,1000
10-31-2019,ZF6086,1500
11-01-2019,ZF8914,3000
11-02-2019,ZF7733,1500
11-03-2019,ZF8079,2000
11-04-2019,ZF6515,3000
11-05-2019,ZF1433,2000
11-06-2019,ZF3539,1500
11-07-2019,ZF9652,2000
11-08-2019,ZF9538,2000
11-09-2019,ZF9428,1000
11-10-2019,ZF1433,1500
11-11-2019,ZF6960,1500
11-12-2019,ZF2982,1500
11-13-2019,ZF4312,2000
11-14-2019,ZF9628,2000
11-15-2019,ZF2204,2000
11-16-2019,ZF2694,3000
11-17-2019,ZF6637,1500
11-18-2019,ZF6800,3000
11-19-2019,ZF8213,1500
11-20-2019,ZF8742,1000
11-21-2019,ZF4533,3000
11-22-2019,ZF8109,3000
11-23-2019,ZF8866,3000
11-24-2019,ZF3875,3000
11-25-2019,ZF3145,1000
11-26-2019,ZF8493,3000
11-27-2019,ZF4169,2000
11-28-2019,ZF3998,2000
11-29-2019,ZF8939,3000
11-30-2019,ZF2729,3000
12-01-2019,ZF1938,3000
12-02-2019,ZF2590,1500
12-03-2019,ZF2307,3000
12-04-2019,ZF9483,2000
12-05-2019,ZF9405,3000
12-06-2019,ZF9403,2000
12-07-2019,ZF9570,1500
12-08-2019,ZF6258,3000
12-09-2019,ZF6706,1000
12-10-2019,ZF7176,1500
12-11-2019,ZF4094,1500
12-12-2019,ZF7879,2000
12-13-2019,ZF4716,3000
12-14-2019,ZF6718,1000
12-15-2019,ZF8870,2000
12-16-2019,ZF1478,2000
12-17-2019,ZF7788,1500
12-18-2019,ZF1433,1000
12-19-2019,ZF9668,1000
12-20-2019,ZF2542,3000
12-21-2019,ZF7493,2000
12-22-2019,ZF9128,2000
12-23-2019,ZF7536,1000
12-24-2019,ZF4509,3000
12-25-2019,ZF7466,1000
12-26-2019,ZF5658,3000
12-27-2019,ZF6086,2000
12-28-2019,ZF8914,1000
12-29-2019,ZF7733,2000
12-30-2019,ZF8079,2000
12-31-2019,ZF6515,2000
